1,1,2,2,2,2,1,1,582
1,1,2,2,4,2,1,1,263
1,1,2,2,2,2,2,2,257
1,1,2,2,2,2,3,3,113
1,1,2,2,4,2,2,2,111
1,1,2,2,1,1,1,1,104
1,1,2,2,2,2,4,2,89
1,1,2,4,2,2,1,1,56
1,1,2,2,2,2,3,2,41
1,1,2,2,4,2,4,2,38
1,1,2,2,2,2,4,3,37
1,1,2,2,2,2,2,3,34
1,1,2,2,4,2,3,3,33
1,1,2,2,4,2,3,2,24
1,1,2,4,2,2,3,3,21
3,3,2,2,2,2,1,1,21
1,1,2,2,2,2,3,4,17
1,1,2,2,2,2,2,4,13
1,1,2,2,4,2,2,3,12
3,2,2,2,1,1,1,1,12
3,3,2,2,1,1,1,1,12
1,1,2,4,2,2,2,2,10
1,1,2,2,2,2,4,4,7
1,1,2,2,4,2,3,4,7
2,2,2,2,2,2,1,1,7
1,1,2,2,4,2,4,3,6
1,1,2,4,4,2,3,3,5
3,3,2,2,4,2,1,1,5
4,2,2,2,1,1,1,1,5
1,1,2,4,2,2,3,4,4
1,1,2,4,4,2,1,1,4
3,4,2,2,1,1,1,1,4
1,1,2,2,4,2,2,4,3
1,1,2,4,2,2,3,2,3
2,3,2,2,2,2,1,1,3
3,3,2,2,2,2,3,3,3
3,4,2,2,2,2,1,1,3
4,3,2,2,2,2,1,1,3
1,1,2,3,2,2,3,3,2
1,1,2,4,1,1,1,1,2
1,1,2,4,2,2,2,4,2
1,1,2,4,2,2,4,2,2
2,2,2,2,1,1,1,1,2
3,3,2,2,4,2,3,3,2
3,4,2,2,4,2,1,1,2
4,2,2,2,2,2,1,1,2
1,1,2,2,3,2,2,3,1
1,1,2,2,3,2,3,3,1
1,1,2,4,2,2,2,3,1
1,1,2,4,3,2,1,1,1
1,1,2,4,4,3,1,1,1
2,2,2,2,4,2,3,4,1
3,2,2,2,2,2,1,1,1
3,2,2,2,4,2,1,1,1
3,4,2,2,2,2,3,2,1
4,2,2,2,2,2,3,3,1
4,2,2,2,4,2,3,3,1
4,3,2,2,4,2,1,1,1
