0.45146,0.63372,0.66703,3.1899,1.5953,3.1274,0.95178,0.40461,44.638,1.6015,0.014983,0.01306,0.15756,0.010056,1205.2,0.019482,0.35655,2.442,0.016039,1,3.2341,1,8.322,0.57134,0.98136,1,0.1086,0.053966,1.1551,0.26406,0.14368,0.13282,0.085736,0.070109,0.054877,0.0789,0.29204
0.25717,0.81568,0.6761,2.4088,0.44865,2.7805,1.463,0.55725,97.447,0.87132,0.011437,0.095458,8496.4,0.010773,1729.8,0.038706,0.044504,1.0249,0.013077,1,4.0142,1,3.7699,7.5643,2.1496,1,0.19499,0.23726,0.217,0.22014,0.15249,0.089189,0.21156,0.15503,0.087638,0.072021,0.16063
0.26136,1.176,0.80651,2.342,0.46657,3.7627,1.436,0.54954,13.222,13.666,0.01467,0.011202,0.020026,0.010801,6733.2,0.031689,0.13232,0.81938,1.9222,1,7.7816,1,19.547,0.075311,0.78261,1,0.16466,0.13049,0.15868,0.29322,0.091933,0.12409,0.19855,0.054483,0.053983,0.77162,0.048978
0.32331,2.1496,1.6127,3.5404,0.3942,3.0799,2.0944,0.57422,34.867,25.955,0.013842,0.015755,7.7951,0.016056,2683.7,0.029377,0.066729,1.9145,0.01098,1,3.3425,1,16.013,6.1603,12.556,1,0.18135,5.302,0.40707,0.37922,0.14244,0.10935,0.27216,0.053107,0.055242,0.12862,0.11108
0.54646,0.60357,0.5667,3.2326,0.64142,2.7409,0.64795,0.46931,45.012,2.007,0.010075,0.088224,0.065895,0.055212,2773.4,0.010145,0.021606,1.0954,0.027189,1,4.3065,1,4.8795,3.1131,2.7566,1,0.25713,9.2028,0.11178,0.055527,0.15971,0.19634,0.10299,0.72084,0.059396,0.30017,0.43658
0.26605,1.5816,0.97656,4,0.34491,3.8815,2.4985,0.83898,21.795,25.843,0.022357,0.018872,0.035459,0.082043,1861,0.023201,0.011034,0.84431,0.019571,1,5.7412,1,5.8538,1.7875,14.604,1,0.28525,1.4596,0.40229,0.094861,0.10707,0.053915,0.065723,0.36965,0.0613,0.048978,0.10085
0.25,1.3845,2.3292,4,0.3359,3.5013,2.533,0.55919,38.099,1.8671,0.052285,0.06749,85.174,0.092715,1234.4,0.01065,0.015156,0.62811,0.6894,1,11.3,1,12.806,1.029,0.19337,1,0.12657,1.6983,2.9785,0.21631,0.12695,0.067744,0.29966,0.76913,0.052241,0.55228,0.11564
0.31232,1.1478,0.65085,3.7374,0.39739,3.3998,1.4688,0.55333,64.603,25.763,0.015834,0.01455,5.3875,0.01052,5847.5,0.010794,0.076079,1.3885,0.5636,1,17.646,1,8.2369,0.10264,0.16598,1,0.18479,1.1777,8.8896,0.082734,0.12698,0.11728,0.09083,0.53111,0.055559,0.20233,0.20552
0.51993,0.90143,0.79839,2.9896,2.0636,3.4766,1.8839,0.40158,75.885,7.7142,0.025811,0.023683,258.48,0.014134,4052,0.069855,0.014934,1.7777,0.27481,1,4.9789,1,3.462,2.673,2.7062,1,0.062232,0.93658,0.34873,0.31801,0.12609,0.10447,0.12041,0.27962,0.055545,0.74038,0.14934
0.30522,0.75253,0.4871,3.2421,0.54592,3.4564,1.1909,0.51269,39.624,13.783,0.046522,0.035341,0.1939,0.092107,2317.7,0.02663,0.022334,0.89332,0.26936,1,15.549,1,3.9908,4.6602,6.1269,1,0.12666,0.69728,6.4586,0.068045,0.12788,0.052725,0.070957,0.56236,0.063524,0.43763,0.2226
0.35814,1.185,0.74161,3.9066,0.29178,3.3724,1.0629,0.53624,58.836,36.675,0.013942,0.010701,0.51865,0.08863,1285.8,0.014967,0.05399,1.3559,0.041293,1,17.475,1,11.253,0.96751,5.6003,1,0.25027,2.409,0.14379,0.089344,0.12611,0.25403,0.066506,0.54425,0.049732,0.45482,0.2839
0.25948,1.5083,0.49849,3.8945,0.25143,4,0.91633,0.56104,7.1354,6.7379,0.012286,0.014832,6.6039,0.068041,2178.3,0.062285,0.6319,1.4831,4.2955,1,20.251,1,19.284,2.3891,18.541,1,0.31623,8.675,1.6467,0.096242,0.090191,0.055531,0.052455,0.070285,0.060876,0.38822,0.18649
0.65772,1.167,0.75247,3.9426,0.69835,3.3277,0.55234,0.46324,54.032,49.31,0.01051,0.045303,0.03135,0.016625,4337.6,0.031326,0.03544,1.1467,0.07831,1,16.054,1,6.0002,6.0974,2.5149,1,0.14488,1.5413,0.72427,0.28807,0.13296,0.056135,0.17218,0.47501,0.090733,0.062449,0.41663
0.42174,0.61621,0.71099,3.1368,0.51734,2.3288,1.0363,0.47117,27.549,6.1124,0.011232,0.024141,0.02234,0.011388,4189.2,0.012679,0.011626,1.7935,0.35048,1,5.2108,1,5.0964,12.698,7.4739,1,0.21239,0.22028,1.0794,0.07691,0.20355,0.063619,0.23667,0.055335,0.053355,0.16967,0.30596
0.26464,1.0836,0.6792,2.915,0.68126,3.71,0.64574,0.48061,61.971,1.2581,0.017882,0.066107,39.177,0.029219,4563.8,0.016501,0.012406,0.71573,0.010783,1,7.5577,1,4.3243,1.4354,1.2633,1,0.06528,1.6088,3.3403,0.42444,0.11557,0.073301,0.21363,0.081743,0.098096,0.2453,0.38594
0.61681,1.3469,1.6583,3.8838,1.0521,3.9059,1.7711,0.48593,24.097,4.0243,0.010778,0.010348,0.015871,0.0111,3004.9,0.020939,0.018064,1.1079,0.010526,1,11.936,1,16.686,5.5212,2.0305,1,0.061628,1.3701,3.5819,0.21931,0.11325,0.090804,0.17647,0.10329,0.096644,0.24066,0.21769
0.26806,1.0909,1.1701,2.9917,0.61413,3.4895,3.1873,0.6295,10.727,10.121,0.010423,0.026265,17.279,0.027199,8206,0.041041,0.088463,1.3865,0.076366,1,6.908,1,3.1623,2.2897,7.7485,1,0.105,0.18343,16.927,0.11864,0.11249,0.083382,0.052949,0.1927,0.048978,0.33085,0.098799
0.60373,1.2784,1.0353,3.8518,0.8553,3.7032,0.42712,0.40315,9.9709,8.814,0.011115,0.070594,0.15615,0.050075,2559.5,0.016266,0.06534,2.0467,0.032622,1,15.851,1,7.9154,11.413,2.0175,1,0.11576,2.2986,0.28488,0.35068,0.11597,0.19647,0.12297,0.074682,0.048978,0.20758,0.79276
0.57312,1.0185,0.67627,3.5319,0.61521,3.9925,0.7512,0.52929,16.343,23.985,0.013263,0.01007,0.018182,0.015892,2136.1,0.013371,0.010313,0.69851,0.02739,1,5.0105,1,8.1913,1.2884,0.17766,1,0.29868,1.0496,0.68625,0.11881,0.10709,0.10189,0.055025,0.35573,0.068165,0.071263,0.3947
0.73227,0.80186,0.49529,3.1263,1.3823,4,1.123,0.44624,12.609,20.214,0.017645,0.017476,0.11696,0.019622,3170.7,0.015339,0.026111,1.0396,0.24425,1,4.6041,1,17.021,0.74213,2.4043,1,0.11877,1.3967,0.24312,0.092419,0.10528,0.054915,0.064742,0.22522,0.078676,0.60751,0.28544
0.64347,0.95339,0.692,3.768,2.0391,3.9715,1.1322,0.42435,21.575,23.957,0.02391,0.029389,0.034021,0.056956,8212.6,0.031193,0.044991,1.684,0.01556,1,16.137,1,19.328,12.768,3.8802,1,0.04899,17.967,16.595,0.25424,0.11051,0.064174,0.06982,0.062782,0.064366,0.37018,0.21681
0.25708,1.3205,1.1674,3.8534,0.63043,3.2002,1.9046,0.54389,59.509,93.512,0.01367,0.014409,0.014458,0.0224,2274.8,0.017252,0.032297,0.8872,0.5186,1,12.61,1,7.4785,0.78483,1.2361,1,0.13272,0.30433,1.2315,0.41401,0.13902,0.052407,0.25413,0.68562,0.080002,0.14348,0.11301
0.25619,0.98964,0.52843,2.3577,0.56857,3.4528,1.6385,0.44725,63.052,62.289,0.011798,0.015132,0.013604,0.015725,1318.7,0.043807,0.047077,1.2018,0.03533,1,10.549,1,8.7464,0.13309,0.090778,1,0.22504,1.2389,0.3969,0.39006,0.12431,0.048978,0.079565,0.22319,0.057314,0.28125,0.19895
0.75864,0.86879,0.75638,4,0.9485,2.8528,2.4087,0.44389,39.727,5.653,0.010716,0.047613,0.023207,0.011925,10000,0.02508,0.014269,1.7351,0.010421,1,5.8717,1,6.0947,1.1,0.06427,1,0.16022,0.47097,13.45,0.12446,0.15106,0.061162,0.061829,0.51541,0.06195,0.59745,0.11981
0.26723,0.47459,0.40349,2.0269,1.0121,2.9298,0.79965,0.48487,51.608,9.6393,0.02933,0.010103,0.2205,0.012249,7251.2,0.014328,0.035218,0.76914,0.043581,1,9.5267,1,11.858,0.4869,0.18428,1,0.059059,0.24918,0.89451,0.11329,0.14871,0.050855,0.17494,0.78281,0.049241,0.25001,0.41042
0.33421,1.6538,1.7326,3.9473,0.19232,3.6038,2.0215,0.84244,45.116,55.957,0.094781,0.014072,135.38,0.014457,1788.8,0.011057,0.012512,0.010327,0.11469,1,15.587,1,18.459,0.32169,0.06781,1,0.074957,0.92407,0.22643,0.051581,0.11866,0.068426,0.30957,0.52191,0.12278,0.055528,0.17073
0.32526,1.7406,0.96529,3.5395,0.58297,4,0.78031,0.56421,15.35,0.29191,0.010145,0.010857,3001.1,0.010504,1805.2,0.014794,0.071061,0.30873,0.11985,1,5.5971,1,4.707,0.59024,0.93711,1,0.053243,6.3436,0.29332,0.16961,0.081261,0.082469,0.2755,0.58709,0.10531,0.52774,0.28951
0.36497,2.4157,1.2427,3.5273,0.37658,3.8392,0.76849,0.86699,35.2,0.27433,0.015825,0.01696,0.15452,0.018285,4906.6,0.065645,0.073641,1.6995,0.019028,1,4.0714,1,13.901,3.0827,4.6504,1,0.27272,0.091121,0.73709,0.1432,0.074735,0.23372,0.30112,0.12762,0.053842,0.13486,0.29371
0.4196,0.68088,0.9657,2.9768,0.84798,2.7044,2.0436,0.52669,67.54,11.302,0.010203,0.01105,143.76,0.014746,7127.8,0.047228,0.041139,1.0039,0.039392,1,8.3949,1,7.5614,0.10761,0.088618,1,0.12535,6.7533,0.19814,0.10872,0.16603,0.096671,0.27566,0.74198,0.059709,0.68775,0.18077
0.34466,0.85131,0.6231,3.2248,1.0682,3.1627,1.1308,0.44142,14.33,37.727,0.02313,0.018364,0.67016,0.012596,1849.1,0.035687,1.7703,2.2795,0.044445,1,9.2937,1,13.701,0.98016,0.27453,1,0.19375,19.892,3.4366,0.08015,0.099167,0.18782,0.048978,0.10889,0.054505,0.3516,0.28271
0.28601,0.79524,0.60251,2.6885,1.0379,3.9713,0.59514,0.64974,33.264,5.277,0.020667,0.014123,0.01544,0.010324,1000,0.015804,0.46699,0.05314,1.189,1,4.8405,1,6.4234,3.3846,5.0805,1,0.18024,6.3467,0.12217,0.065621,0.092966,0.051147,0.21333,0.75479,0.088938,0.17985,0.40478
0.40957,0.97515,0.65995,4,0.97639,3.5664,1.6295,0.37114,100,7.373,0.010504,0.030523,0.018749,0.094386,2282.4,0.010277,0.03103,1.841,0.070395,1,13.823,1,3.8386,0.32596,0.12076,1,0.13835,13.701,1.4661,0.6196,0.12332,0.057238,0.048978,0.17097,0.062896,0.27857,0.21544
0.26819,0.61747,0.5532,2.3281,1.0191,3.0561,1.643,0.47946,8.5009,79.401,0.089428,0.032194,7153.4,0.027577,2104.7,0.016903,0.19874,1.4274,3.2212,1,9.7458,1,3.5838,1.8964,6.9951,1,0.19445,1.9199,4.2458,0.27861,0.13271,0.17753,0.097219,0.50612,0.0496,0.088928,0.08498
0.3478,0.42869,0.54609,2.4204,0.54538,2.4361,2.01,0.47722,12.005,1.0665,0.089892,0.010512,0.2603,0.06101,3020.4,0.010276,0.11736,1.3684,0.28033,1,8.2116,1,9.9682,0.13977,0.8993,1,0.30815,12.622,0.74387,0.092275,0.17751,0.082589,0.088643,0.76816,0.056727,0.13473,0.15812
