0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9,11,11.1,11.2,11.3,11.4,11.5,11.6,11.7,11.8,11.9,12,14,14.1,14.2,14.3,14.4,14.5,14.6,14.7,14.8,14.9,15,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.8,15.9,16,16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,17,17.1,17.2,17.3,17.4,17.5,17.6,17.7,17.8,17.9,18,18.1,18.2,18.3,18.4,18.5,18.6,18.7,18.8,18.9,19,19.1,19.2,19.3,19.4,19.5,19.6,19.7,19.8,19.9,20,20.1,20.2,20.3,20.4,20.5,20.6,20.7,20.8,20.9,21,21.1,21.2,21.3,21.4,21.5,21.6,21.7,21.8,21.9,22,22.1,22.2,22.3,22.4,22.5,22.6,22.7,22.8,22.9,23,23.1,23.2,23.3,23.4,23.5,23.6,23.7,23.8,23.9,24
2.2558,2.7853,2.783,2.7805,2.7776,2.7745,2.771,2.7672,2.7631,2.7587,2.754,2.749,2.7437,2.7382,2.7325,2.7266,2.7205,2.7141,2.7077,2.7011,2.6943,2.6873,2.6803,2.6731,2.6657,2.6582,2.6504,2.6424,2.6342,2.6257,2.6168,2.6077,2.5982,2.5883,2.5782,2.5677,2.5571,2.5462,2.5352,2.5242,2.5131,2.502,2.4909,2.4799,2.4689,2.4581,2.4475,2.437,2.4268,2.4168,2.4072,2.3979,2.3888,2.3801,2.3718,2.3639,2.3563,2.349,2.342,2.3354,2.3292,2.3231,2.3173,2.3116,2.3062,2.3009,2.2959,2.2911,2.2866,2.2823,2.2781,2.2742,2.2706,2.2672,2.2641,2.2612,2.2585,2.2562,2.2541,2.2522,2.2507,2.2494,2.2485,2.248,2.2477,2.2479,2.2484,2.2492,2.2505,2.2521,2.2542,2.2566,2.2596,2.263,2.267,2.2714,2.2763,2.2817,2.2875,2.2939,2.3007,2.3079,2.3155,2.3235,2.3319,2.3406,2.3495,2.3586,2.368,2.3776,2.3872,2.3969,2.2747,2.2641,2.2554,2.2484,2.2427,2.2383,2.2349,2.2325,2.2308,2.2297,2.2292,2.2291,2.2295,2.2301,2.231,2.2321,2.2333,2.2346,2.236,2.2374,2.2388,2.2402,2.2415,2.2427,2.2438,2.2448,2.2456,2.2462,2.2465,2.2467,2.2466,2.2463,2.2458,2.2454,2.245,2.2447,2.2445,2.2443,2.2442,2.2441,2.244,2.2438,2.2436,2.2434,2.2433,2.2431,2.243,2.2429,2.2429,2.2428,2.2427,2.2427,2.2427,2.2426,2.2426,2.2426,2.2426,2.2426,2.2426,2.2427,2.2428,2.2429,2.243,2.2431,2.2433,2.2435,2.2437,2.2439,2.2442,2.2445,2.2449,2.2452,2.2456,2.246,2.2463,2.2467,2.247,2.2474,2.2477,2.248,2.2483,2.2486,2.2489,2.2493,2.2496,2.2499,2.2503,2.2506,2.251,2.2514,2.2517,2.2521,2.2525,2.2529,2.2533,2.2537,2.2541,2.2545,2.255,2.2554,2.2558
0.93018,0.8822,0.88178,0.88128,0.8807,0.88004,0.87929,0.87847,0.87756,0.87657,0.87551,0.87437,0.87315,0.87186,0.8705,0.86907,0.86758,0.86602,0.86441,0.86273,0.861,0.85921,0.85737,0.85548,0.85352,0.85151,0.84942,0.84725,0.84498,0.8426,0.84011,0.83752,0.83483,0.83203,0.82913,0.82613,0.82305,0.81989,0.81664,0.81334,0.80999,0.8066,0.80315,0.79967,0.79617,0.79264,0.78911,0.78558,0.78206,0.77857,0.77511,0.77172,0.76839,0.76513,0.76197,0.75888,0.75589,0.75299,0.7502,0.74749,0.74486,0.74231,0.73984,0.73744,0.73511,0.73286,0.73068,0.72858,0.72656,0.72462,0.72276,0.72097,0.71925,0.71761,0.7161,0.71466,0.71331,0.71202,0.71083,0.70977,0.7088,0.70792,0.70712,0.70646,0.7059,0.70543,0.70504,0.70482,0.70469,0.70468,0.70475,0.70499,0.70536,0.70583,0.70642,0.70714,0.708,0.70897,0.71005,0.71124,0.71255,0.71397,0.71546,0.71705,0.71873,0.72046,0.72225,0.72411,0.72599,0.7279,0.72984,0.7318,0.88934,0.88735,0.88572,0.88443,0.88347,0.88282,0.88247,0.88238,0.88254,0.88293,0.88352,0.8843,0.88525,0.88635,0.88759,0.88894,0.89039,0.89192,0.89353,0.89518,0.89687,0.89857,0.90027,0.90196,0.90361,0.90521,0.90673,0.90816,0.90947,0.91066,0.9117,0.91259,0.91336,0.91402,0.91459,0.91512,0.91557,0.91598,0.91633,0.91663,0.91691,0.91715,0.91735,0.91752,0.91766,0.91778,0.91787,0.91794,0.918,0.91804,0.91808,0.9181,0.91813,0.91814,0.91816,0.91818,0.9182,0.91822,0.91825,0.91829,0.91833,0.91839,0.91846,0.91854,0.91864,0.91875,0.91889,0.91904,0.91922,0.91942,0.91964,0.91989,0.92016,0.92044,0.92072,0.92102,0.92131,0.92161,0.92191,0.92222,0.92253,0.92285,0.92318,0.92352,0.92387,0.92422,0.92457,0.92493,0.92529,0.92566,0.92603,0.92641,0.9268,0.92719,0.92759,0.928,0.92842,0.92884,0.92928,0.92972,0.93018
1.3618,2.0178,2.0134,2.009,2.0045,1.9999,1.9953,1.9905,1.9857,1.9807,1.9756,1.9704,1.9649,1.9594,1.9536,1.9478,1.9417,1.9356,1.9293,1.9229,1.9163,1.9097,1.9029,1.8959,1.8888,1.8814,1.8739,1.866,1.8579,1.8496,1.8409,1.8318,1.8225,1.8128,1.8028,1.7926,1.7822,1.7715,1.7608,1.7501,1.7393,1.7284,1.7176,1.7068,1.6961,1.6854,1.6748,1.6644,1.6541,1.644,1.6343,1.6248,1.6156,1.6068,1.5983,1.5901,1.5822,1.5746,1.5674,1.5604,1.5536,1.5471,1.5408,1.5348,1.529,1.5235,1.5182,1.5131,1.5082,1.5036,1.4993,1.4952,1.4913,1.4876,1.4842,1.4812,1.4784,1.4758,1.4735,1.4715,1.4699,1.4686,1.4676,1.4669,1.4665,1.4665,1.4669,1.4676,1.4687,1.4702,1.4721,1.4744,1.4772,1.4805,1.4842,1.4885,1.4932,1.4984,1.504,1.5101,1.5167,1.5235,1.5307,1.5382,1.5461,1.5543,1.5626,1.5711,1.5797,1.5885,1.5974,1.6062,1.2953,1.2963,1.2975,1.2989,1.3004,1.3021,1.3038,1.3058,1.3078,1.3099,1.3121,1.3143,1.3167,1.319,1.3214,1.3239,1.3263,1.3287,1.3311,1.3334,1.3357,1.3378,1.3399,1.3418,1.3436,1.3453,1.3467,1.3479,1.3489,1.3496,1.35,1.3502,1.3502,1.3501,1.35,1.3498,1.3497,1.3495,1.3494,1.3491,1.3489,1.3487,1.3485,1.3483,1.3482,1.348,1.3479,1.3478,1.3476,1.3475,1.3473,1.3472,1.3471,1.347,1.3469,1.3468,1.3468,1.3468,1.3468,1.3468,1.3468,1.3469,1.347,1.3471,1.3473,1.3475,1.3477,1.3479,1.3482,1.3485,1.3488,1.3492,1.3496,1.3501,1.3505,1.3509,1.3513,1.3516,1.352,1.3524,1.3528,1.3532,1.3536,1.354,1.3544,1.3548,1.3552,1.3556,1.3561,1.3565,1.3569,1.3574,1.3578,1.3583,1.3588,1.3593,1.3597,1.3602,1.3607,1.3613,1.3618
0.93347,2.8311,2.814,2.7994,2.7867,2.7755,2.7651,2.7553,2.7457,2.7363,2.7268,2.7172,2.7074,2.6974,2.6871,2.6766,2.6657,2.6546,2.6433,2.6316,2.6197,2.6076,2.5951,2.5822,2.569,2.5554,2.5413,2.5266,2.5113,2.4953,2.4786,2.4612,2.443,2.4243,2.405,2.385,2.3646,2.3439,2.323,2.3018,2.2806,2.2593,2.2381,2.217,2.196,2.1752,2.1546,2.1343,2.1145,2.0951,2.0763,2.058,2.0405,2.0236,2.0075,1.9922,1.9776,1.9635,1.9502,1.9374,1.9253,1.9136,1.9024,1.8916,1.8812,1.8712,1.8617,1.8526,1.8439,1.8356,1.8278,1.8205,1.8138,1.8077,1.8021,1.7971,1.7926,1.7888,1.7857,1.7832,1.7812,1.7799,1.7793,1.7793,1.78,1.7814,1.7834,1.7862,1.7898,1.7943,1.7998,1.8061,1.8134,1.8217,1.831,1.8414,1.8527,1.8649,1.8779,1.8919,1.9065,1.9218,1.9377,1.9542,1.9711,1.9884,2.0061,2.024,2.0421,2.0602,2.0783,2.0964,0.89432,0.89443,0.8947,0.8951,0.89562,0.89625,0.89697,0.89778,0.89868,0.89965,0.90068,0.90178,0.90294,0.90414,0.90538,0.90665,0.90795,0.90926,0.91058,0.9119,0.9132,0.91449,0.91574,0.91694,0.91809,0.91917,0.92018,0.92109,0.9219,0.92259,0.92316,0.92361,0.92396,0.92425,0.9245,0.92472,0.9249,0.92506,0.9252,0.92531,0.92539,0.92545,0.92549,0.92552,0.92553,0.92553,0.92553,0.92552,0.9255,0.92548,0.92546,0.92543,0.9254,0.92538,0.92536,0.92534,0.92534,0.92533,0.92533,0.92534,0.92536,0.92539,0.92543,0.92548,0.92555,0.92564,0.92573,0.92584,0.92597,0.92612,0.92629,0.92647,0.92666,0.92687,0.92707,0.92728,0.92749,0.9277,0.92791,0.92812,0.92834,0.92856,0.92878,0.92901,0.92924,0.92947,0.92971,0.92995,0.93019,0.93044,0.93069,0.93095,0.93121,0.93148,0.93175,0.93202,0.9323,0.93258,0.93287,0.93317,0.93347
1.1482,1.195,1.1949,1.1947,1.1942,1.1937,1.1929,1.192,1.1909,1.1896,1.1882,1.1866,1.1849,1.183,1.181,1.1788,1.1765,1.1741,1.1716,1.1689,1.1662,1.1634,1.1605,1.1574,1.1543,1.1511,1.1478,1.1443,1.1407,1.137,1.1331,1.1291,1.1249,1.1206,1.1161,1.1114,1.1066,1.1017,1.0966,1.0915,1.0863,1.081,1.0756,1.0703,1.0649,1.0595,1.0541,1.0487,1.0433,1.0381,1.0328,1.0277,1.0227,1.0178,1.013,1.0083,1.0038,0.9994,0.99515,0.99105,0.98707,0.9832,0.97945,0.97581,0.97229,0.96889,0.9656,0.96242,0.95934,0.95635,0.9535,0.95075,0.94812,0.94558,0.94315,0.94085,0.93867,0.93661,0.93467,0.93284,0.93115,0.92959,0.92816,0.92685,0.92567,0.92462,0.9237,0.92291,0.92224,0.92171,0.92133,0.92109,0.92099,0.92104,0.92123,0.92157,0.92209,0.92276,0.92356,0.92449,0.92556,0.92679,0.92815,0.92965,0.93126,0.93298,0.93482,0.93675,0.93877,0.94087,0.94305,0.9453,1.0911,1.0837,1.0777,1.0729,1.0692,1.0665,1.0645,1.0633,1.0627,1.0627,1.0631,1.0639,1.0652,1.0667,1.0685,1.0705,1.0728,1.0752,1.0778,1.0805,1.0833,1.0862,1.0891,1.092,1.0949,1.0977,1.1004,1.1031,1.1056,1.1079,1.11,1.1118,1.1135,1.115,1.1164,1.1176,1.1187,1.1198,1.1207,1.1215,1.1223,1.123,1.1235,1.1241,1.1245,1.1249,1.1253,1.1256,1.1259,1.1262,1.1264,1.1266,1.1267,1.1269,1.127,1.1271,1.1272,1.1273,1.1274,1.1275,1.1276,1.1278,1.1279,1.1281,1.1283,1.1285,1.1287,1.1289,1.1292,1.1295,1.1299,1.1303,1.1307,1.1311,1.1316,1.1321,1.1326,1.1331,1.1336,1.1341,1.1346,1.1352,1.1358,1.1363,1.1369,1.1375,1.1381,1.1388,1.1394,1.1401,1.1408,1.1414,1.1422,1.1429,1.1436,1.1443,1.1451,1.1459,1.1466,1.1474,1.1482
0.97204,0.97806,0.97768,0.97722,0.97669,0.97608,0.9754,0.97467,0.97387,0.97301,0.97209,0.97112,0.97009,0.96902,0.96789,0.96673,0.96551,0.96426,0.96296,0.96163,0.96026,0.95886,0.95742,0.95593,0.9544,0.95281,0.95115,0.9494,0.94757,0.94564,0.94359,0.94143,0.93916,0.93679,0.93431,0.93176,0.92913,0.92642,0.92368,0.92091,0.9181,0.91528,0.91243,0.90957,0.90671,0.90385,0.90098,0.89813,0.89528,0.89246,0.88968,0.88694,0.88425,0.88162,0.87906,0.87658,0.87419,0.87189,0.86966,0.86749,0.86539,0.86336,0.86139,0.85946,0.85759,0.85576,0.85398,0.85225,0.85059,0.849,0.84746,0.84597,0.84455,0.84324,0.84201,0.84086,0.8398,0.83884,0.838,0.83726,0.83664,0.83612,0.83573,0.83544,0.83528,0.83523,0.8353,0.8355,0.83581,0.83624,0.83679,0.83747,0.83827,0.83922,0.8403,0.84153,0.8429,0.84437,0.84595,0.84764,0.84944,0.85126,0.85314,0.85506,0.85701,0.85895,0.86089,0.86282,0.86471,0.86657,0.86839,0.87014,0.91318,0.91347,0.91397,0.91464,0.91547,0.91643,0.91752,0.91871,0.92,0.92139,0.92288,0.92444,0.92608,0.92779,0.92954,0.93135,0.93319,0.93506,0.93695,0.93884,0.94071,0.94257,0.94438,0.94615,0.94784,0.94945,0.95096,0.95235,0.9536,0.95469,0.95562,0.95639,0.95703,0.95756,0.95802,0.95842,0.95877,0.95909,0.95936,0.95959,0.95978,0.95993,0.96006,0.96015,0.96022,0.96027,0.9603,0.96033,0.96034,0.96035,0.96035,0.96035,0.96034,0.96033,0.96032,0.96032,0.96032,0.96033,0.96034,0.96037,0.96041,0.96046,0.96052,0.9606,0.9607,0.96082,0.96095,0.96111,0.96129,0.9615,0.96173,0.96198,0.96226,0.96254,0.96282,0.96311,0.9634,0.9637,0.964,0.96431,0.96462,0.96493,0.96525,0.96558,0.96591,0.96625,0.96659,0.96693,0.96729,0.96764,0.96801,0.96838,0.96876,0.96914,0.96953,0.96993,0.97034,0.97075,0.97117,0.9716,0.97204
1.5051,1.5535,1.5483,1.5427,1.5368,1.5305,1.5239,1.517,1.5098,1.5022,1.4944,1.4862,1.4779,1.4692,1.4603,1.4512,1.4419,1.4324,1.4227,1.413,1.4031,1.393,1.3828,1.3725,1.3621,1.3515,1.3407,1.3297,1.3184,1.3068,1.2948,1.2825,1.27,1.2571,1.2439,1.2306,1.2173,1.204,1.1907,1.1775,1.1646,1.152,1.1395,1.1274,1.1156,1.1042,1.0932,1.0826,1.0724,1.0626,1.0533,1.0443,1.0359,1.0278,1.0203,1.0131,1.0063,0.99991,0.99388,0.9882,0.98278,0.97761,0.9727,0.96802,0.96355,0.95933,0.95531,0.95147,0.9478,0.9443,0.94112,0.93816,0.93541,0.93287,0.93054,0.92855,0.92681,0.92534,0.92413,0.9232,0.92258,0.92226,0.92224,0.92253,0.92313,0.9241,0.92544,0.92715,0.92924,0.93171,0.93462,0.93798,0.94179,0.94606,0.95081,0.95604,0.96177,0.96802,0.97479,0.9819,0.98947,0.99748,1.0059,1.0147,1.0238,1.0332,1.0428,1.0527,1.0627,1.0729,1.0831,1.0935,1.4456,1.4449,1.445,1.4456,1.4467,1.4482,1.4499,1.452,1.4542,1.4565,1.459,1.4616,1.4642,1.4669,1.4696,1.4723,1.4749,1.4775,1.4801,1.4825,1.4849,1.4871,1.4892,1.4911,1.4927,1.4942,1.4954,1.4963,1.4969,1.4972,1.4972,1.4969,1.4964,1.4958,1.4952,1.4947,1.4942,1.4938,1.4933,1.4929,1.4925,1.4921,1.4917,1.4914,1.4911,1.4908,1.4905,1.4902,1.49,1.4898,1.4896,1.4894,1.4893,1.4892,1.4891,1.489,1.489,1.4889,1.4889,1.489,1.489,1.4891,1.4892,1.4894,1.4896,1.4898,1.4901,1.4904,1.4907,1.4911,1.4915,1.492,1.4925,1.493,1.4934,1.4939,1.4943,1.4947,1.4952,1.4956,1.496,1.4964,1.4968,1.4972,1.4977,1.4981,1.4985,1.4989,1.4993,1.4998,1.5002,1.5007,1.5011,1.5016,1.5021,1.5026,1.5031,1.5036,1.5041,1.5046,1.5051
1.9662,1.2886,1.289,1.2892,1.289,1.2886,1.288,1.2871,1.2861,1.285,1.2836,1.2822,1.2806,1.2788,1.277,1.275,1.273,1.2709,1.2686,1.2663,1.264,1.2615,1.2589,1.2563,1.2536,1.2508,1.2478,1.2448,1.2416,1.2382,1.2346,1.2309,1.227,1.223,1.2187,1.2143,1.2097,1.205,1.2002,1.1953,1.1903,1.1852,1.1801,1.1749,1.1697,1.1645,1.1593,1.1541,1.1489,1.1438,1.1387,1.1338,1.1289,1.1242,1.1195,1.115,1.1107,1.1065,1.1024,1.0984,1.0946,1.0908,1.0872,1.0838,1.0804,1.0771,1.0739,1.0709,1.0679,1.065,1.0623,1.0596,1.057,1.0546,1.0523,1.0502,1.0483,1.0465,1.0448,1.0434,1.0422,1.0411,1.0402,1.0396,1.0391,1.0388,1.0388,1.0389,1.0393,1.0398,1.0406,1.0417,1.043,1.0445,1.0463,1.0483,1.0505,1.053,1.0556,1.0585,1.0615,1.0648,1.0682,1.0716,1.0752,1.0789,1.0826,1.0864,1.0902,1.0939,1.0977,1.1014,1.8858,1.8874,1.8894,1.8917,1.8942,1.8969,1.8998,1.9028,1.906,1.9093,1.9126,1.916,1.9194,1.9228,1.9261,1.9293,1.9325,1.9356,1.9386,1.9414,1.9441,1.9466,1.9488,1.9508,1.9526,1.954,1.9551,1.9558,1.9561,1.9561,1.9556,1.9549,1.9538,1.9528,1.9518,1.9511,1.9506,1.9502,1.9499,1.9496,1.9492,1.9488,1.9484,1.9479,1.9475,1.9472,1.947,1.9467,1.9466,1.9465,1.9463,1.9462,1.9461,1.946,1.9459,1.9459,1.9459,1.9459,1.9459,1.946,1.9462,1.9463,1.9465,1.9468,1.947,1.9474,1.9477,1.9481,1.9486,1.9491,1.9496,1.9502,1.9509,1.9515,1.952,1.9526,1.9531,1.9536,1.9541,1.9545,1.955,1.9555,1.956,1.9565,1.957,1.9575,1.958,1.9585,1.9591,1.9596,1.9601,1.9607,1.9613,1.9618,1.9624,1.963,1.9636,1.9642,1.9649,1.9655,1.9662
3.3283,2.9991,2.998,2.9966,2.9951,2.9933,2.9914,2.9893,2.9871,2.9847,2.9822,2.9795,2.9767,2.9738,2.9708,2.9677,2.9645,2.9612,2.9578,2.9544,2.9508,2.9472,2.9436,2.9398,2.9359,2.9319,2.9278,2.9235,2.9191,2.9144,2.9096,2.9045,2.8992,2.8937,2.888,2.8821,2.8761,2.8699,2.8637,2.8575,2.8512,2.8448,2.8385,2.8322,2.8259,2.8197,2.8135,2.8074,2.8015,2.7957,2.79,2.7846,2.7793,2.7742,2.7694,2.7648,2.7604,2.7563,2.7523,2.7485,2.7449,2.7414,2.7381,2.7349,2.7317,2.7287,2.7258,2.7231,2.7205,2.718,2.7156,2.7134,2.7114,2.7095,2.7078,2.7063,2.705,2.7039,2.703,2.7022,2.7018,2.7015,2.7015,2.7017,2.7021,2.7028,2.7037,2.7049,2.7063,2.708,2.71,2.7122,2.7148,2.7177,2.721,2.7245,2.7284,2.7325,2.737,2.7418,2.7468,2.752,2.7573,2.7628,2.7685,2.7742,2.78,2.7857,2.7915,2.7972,2.8028,2.8083,3.2768,3.2775,3.2786,3.2801,3.2817,3.2836,3.2855,3.2876,3.2897,3.292,3.2942,3.2966,3.2989,3.3011,3.3033,3.3055,3.3076,3.3096,3.3115,3.3133,3.3149,3.3164,3.3177,3.3188,3.3197,3.3203,3.3207,3.3208,3.3206,3.32,3.3192,3.3183,3.3173,3.3165,3.316,3.3156,3.3153,3.315,3.3148,3.3145,3.3142,3.314,3.3139,3.3137,3.3136,3.3135,3.3134,3.3134,3.3133,3.3132,3.3131,3.313,3.313,3.3129,3.3129,3.313,3.313,3.3131,3.3131,3.3132,3.3134,3.3135,3.3137,3.3139,3.3142,3.3144,3.3148,3.3151,3.3155,3.3159,3.3163,3.3168,3.3173,3.3177,3.3181,3.3185,3.3188,3.3191,3.3195,3.3198,3.3202,3.3205,3.3209,3.3212,3.3216,3.3219,3.3223,3.3227,3.3231,3.3234,3.3238,3.3243,3.3247,3.3251,3.3255,3.326,3.3264,3.3269,3.3274,3.3278,3.3283
