0.89101,0.5562,0.78643,0
0.48721,0.2255,0.29735,0
1.0435,0.7225,0.33631,0
1.1959,1.9368,0.2677,0
0.64012,0.27401,0.39288,0
0.62905,0.14283,0.2195,0
0.83208,0.63126,0.25844,0
0.64125,0.9274,0.28448,0
1.1123,0.6268,1.1272,0
0.55,0.89477,0.39591,0
0.65768,0.65578,0.19774,0
0.65894,0.3227,0.1561,0
0.76237,1.5646,0.4588,0
0.5589,0.37845,0.34071,0
0.64316,0.78309,0.47311,0
1.1869,1.0289,0.7517,0
0.65437,0.5833,0.46906,0
0.80335,1.2883,0.54018,0
0.74784,0.3734,0.36401,0
1.2009,0.6869,0.9157,0
1.2451,0.6841,1.1477,0
1.019,1.2375,0.42034,0
0.7234,0.455,0.34318,0
0.95231,0.3213,0.61271,0
1.0497,0.4991,0.71533,0
0.9876,0.6023,0.16685,0
0.79143,0.5194,0.4637,0
1.1971,1.3551,0.24466,0
1.1023,0.625,0.60962,0
0.94321,0.4257,0.57994,0
1.1655,0.4496,0.70365,0
0.59314,1.1999,0.47624,0
0.82427,0.6297,0.60383,0
0.71905,0.2355,0.3147,0
0.9999,0.4688,0.82824,0
0.95682,0.8365,0.54186,0
1.0342,0.7927,0.54092,0
1.1861,1.0398,0.34324,0
1.3301,0.4502,0.75645,0
0.98057,0.3266,0.93755,0
0.94451,0.6525,0.36898,0
1.2281,0.8785,0.3404,0
1.0827,0.511,0.58913,0
1.5073,0.6801,0.85186,0
1.3572,1.1591,0.35158,0
0.85307,0.4717,0.60294,0
1.0886,0.463,0.68298,0
0.832,0.51495,0.25057,0
1.0037,0.3718,0.31731,0
0.54876,0.56633,0.24644,0
1.3441,0.5873,1.0842,0
1.0798,1.1699,0.76624,0
1.0678,0.7999,0.43246,0
0.76966,0.26403,0.31269,0
1.7686,0.6207,1.0752,0
1.2114,0.7024,0.29935,0
1.1226,0.6251,0.55626,0
1.3875,0.5296,0.7337,0
1.1343,0.5884,0.84451,0
0.6093,0.63881,0.32154,0
1.2439,0.3742,0.97713,0
0.6219,0.74572,0.22708,0
1.6436,1.1378,1.5367,0
1.2347,0.891,0.27289,0
1.1206,0.91154,0.29082,0
1.0269,1.3484,0.52533,0
0.7866,0.27746,0.47092,0
0.60437,0.72535,0.19794,0
0.71147,0.3534,0.2679,0
0.84977,0.5532,0.24297,0
1.001,1.2464,0.43604,0
0.70122,0.7102,0.14359,0
1.4787,1.4915,0.33926,0
1.1933,0.8023,0.4638,0
0.97741,0.2813,0.80128,0
0.84349,0.73,0.2582,0
0.79087,0.553,0.59416,0
1.1757,0.3243,0.72541,0
1.05,0.6163,0.6629,0
0.8462,0.3384,0.39335,0
2.1289,1.1549,0.69229,0
0.81727,0.4654,0.59753,0
0.7355,0.6732,0.28988,0
0.74534,0.7257,0.52958,0
0.91972,0.66467,0.17492,0
1.0839,0.76868,0.20873,0
0.65059,0.1857,0.45084,0
1.228,0.4598,0.78775,0
0.88937,0.4547,0.81977,0
0.89884,0.30157,0.27217,0
1.3451,1.0929,0.62593,0
0.50476,0.44733,0.17488,0
1.0678,0.3623,0.48753,0
1.543,1.4877,0.46253,0
1.3806,0.7429,0.24078,0
0.59575,1.1349,0.29658,0
1.5323,1.7647,0.67188,0
